quartier,tarif,ville
Bali,2000,Douala
Bessengué,2000,Douala
Bonabékombo,2000,Douala
Bonadibong,2000,Douala
Bonadoumbè,2000,Douala
Bonajang,2000,Douala
Bonajinjè,2000,Douala
Bonakeke Akwa,2000,Douala
Bonakouamouang,2000,Douala
Bonalembè,2000,Douala
Bonalékè,2000,Douala
Bonamikengué,2000,Douala
Bonamoudourou,2000,Douala
Bonamouti-Akwa 2,2000,Douala
Bonamouti-Deido,2000,Douala
Bonanjo,2000,Douala
Bonantonè,2000,Douala
Bonapriso,2000,Douala
Bonatéki,2000,Douala
Bonaténè,2000,Douala
Bonelang,2000,Douala
Grand Moulin,2000,Douala
Hydrocarbures,2000,Douala
Joss,2000,Douala
Koumassi,2000,Douala
Ngodi,2000,Douala
Nkongmondo,2000,Douala
Nouvelle zone Akwa Nord,2000,Douala
Nouvelle zone New-Deido,2000,Douala
Aéroport,2500,Douala
Ari,2500,Douala
Babylone I,2500,Douala
Babylone II,2500,Douala
Besseke,2500,Douala
Bilingue,2500,Douala
Bilongue I,2500,Douala
Bilongue II,2500,Douala
Bojongo,2500,Douala
Bonadouma,2500,Douala
Bonamatoumbe Village,2500,Douala
Bonamatoumbe Ville,2500,Douala
Bonambappé,2500,Douala
Bonaminkano,2500,Douala
Bonamoussadi,2500,Douala
Bonanloka,2500,Douala
Bonassama,2500,Douala
Bonendale I,2500,Douala
Bonendale II,2500,Douala
Brazzaville,2500,Douala
Bwang,2500,Douala
Cacao Barry,2500,Douala
CCC,2500,Douala
Cité des Palmiers,2500,Douala
Cité de la Paix,2500,Douala
Cité des Billes,2500,Douala
Cité des Enseignants,2500,Douala
Cité Makepé,2500,Douala
Cité Sic,2500,Douala
Congo,2500,Douala
Dibom I,2500,Douala
Dibom II,2500,Douala
Dikahe PK10,2500,Douala
Emene City,2500,Douala
Gentil,2500,Douala
Grand Hangar,2500,Douala
Jourdain,2500,Douala
Kassalafam,2500,Douala
Kondi PK8,2500,Douala
Lagos Market,2500,Douala
Lycée de New-Bell,2500,Douala
Mambanda,2500,Douala
Madagascar,2500,Douala
Manikè,2500,Douala
Mbam Ewondo,2500,Douala
Mbanga Mpongo,2500,Douala
Mbenguè City,2500,Douala
Mboko,2500,Douala
Ndobo,2500,Douala
Ndjong-Mebi,2500,Douala
Ndogbatti CDP,2500,Douala
Ndogbong,2500,Douala
Ndoghem I,2500,Douala
Ndoghem II,2500,Douala
Ndogmbe,2500,Douala
Ndogpassi I,2500,Douala
Ndogpassi II,2500,Douala
Ndodi,2500,Douala
Ngangue,2500,Douala
Ngoma,2500,Douala
Ngodi Bakoko,2500,Douala
Nguereck,2500,Douala
Ngwele,2500,Douala
Nkôlmbong,2500,Douala
Nkololoum,2500,Douala
Nkomba,2500,Douala
Nylon,2500,Douala
Newtown Aéroport,2500,Douala
Oyack,2500,Douala
Prison,2500,Douala
RNCFC,2500,Douala
Sabenjongo,2500,Douala
Sobikago,2500,Douala
Sodiko Ville,2500,Douala
Sodiko Village,2500,Douala
Sodikombo,2500,Douala
Source TSF,2500,Douala
Youpwé,2500,Douala
Djébalè I,3000,Douala
Djébalè II,3000,Douala
Japoma,3000,Douala
Logbaba,3000,Douala
Logbessou,3000,Douala
Logpom,3000,Douala
Nyalla,3000,Douala
PK 8,3000,Douala
PK 12,3000,Douala
PK 14,3000,Douala
PK 15,3000,Douala
PK 16,3000,Douala
PK 17,3000,Douala
PK 19,3000,Douala
PK 21,3000,Douala
PK J6,3000,Douala
So-Boum,3000,Douala
Song-Mahop,3000,Douala
Tergal,3000,Douala
Yansoki,3000,Douala
Yassa,3000,Douala
Yatchika,3000,Douala
